artist,country,birth date,death date,gender,number of artworks
Amy Sillman,United States,1955,,female,9
Christiane Baumgartner,Germany,1967,,female,9
Elena Semenova,Russia,1898,1986,female,9
Laura Gilpin,United States,1881,1979,female,9
Katalin Ladik,Hungary,1942,,female,9
Zsuzsi Roboz,Hungary,1939,2012,female,9
Martine Franck,Belgium,1938,2012,female,9
Judith Shea,United States,1948,,female,9
Judith Rothschild,United States,1921,1993,female,9
Susan Hiller,United States,1940,2019,female,9
Paz Errázuriz,Chile,1941,,female,9
Mary E. Frey,United States,1948,,female,9
Hilary Sample,United States,1971,,female,9
Alice Aycock,United States,1946,,female,9
Elizabeth Blackadder,United Kingdom,1931,,female,9
Annette Kelm,Germany,1975,,female,9
Joan Snyder,United States,1940,,female,9
Sheba Chhachhi,India,1958,,female,8
Lygia Pape,Brazil,1927,2004,female,8
Gertrud Natzler,United States,1908,1971,female,8
Dorothy Norman,United States,1905,1997,female,8
Elaine Mayes,United States,1938,,female,8
Dorit Margreiter,Austria,1967,,female,8
Hendrika Sonnenberg,Canada,1963,,female,8
Rita Donagh,United Kingdom,1939,,female,8
Margaret Harrison,United Kingdom,1940,,female,8
Leonora Carrington,United Kingdom,1917,2011,female,8
Ming Smith,United States,,,female,8
Saloua Raouda Choucair,Lebanon,1916,2017,female,8
Louise Dahl-Wolfe,United States,1895,1989,female,8
Mary Martin,United Kingdom,1907,1969,female,8
Marina Tabassum,Bangladesh,1968,,female,8
Eileen Agar,Argentina,1899,1991,female,8
Mary Beth Edelson,United States,,2021,female,8
Rita McBride,United States,1960,,female,8
Yvonne Jacquette,United States,1934,2023,female,8
Winifred Nicholson,United Kingdom,1893,1981,female,8
Lynette Yiadom-Boakye,United Kingdom,1977,,female,8
Park McArthur,United States,1984,,female,8
Atsuko Tanaka,Japan,1932,2005,female,8
Sheron Rupp,United States,1943,,female,8
Maria Hees,Netherlands,1948,,female,8
Michal Rovner,Israel,1957,,female,8
Frances Hodgkins,New Zealand,1869,1947,female,8
Anna Gaskell,United States,1969,,female,8
Ekaterina Turova,,,,female,8
J. Morgan Puett,United States,1957,,female,8
Shelagh Cluett,United Kingdom,1947,2007,female,8
Jennifer Allora,United States,1974,,female,8
Lucia Nogueira,Brazil,1950,1998,female,8
Anna Halprin,United States,,2021,female,8
Hella Fischer-Thorer,Germany,1928,1978,female,8
Ceal Floyer,Pakistan,1968,,female,8
Jackie Ferrara,United States,1929,,female,8
Thérèse Oulton,United Kingdom,1953,,female,8
Susana Solano,Spain,1946,,female,8
Carmela Gross,Brazil,1946,,female,8
Louise Wilson,United Kingdom,1967,,female,8
Jane Wilson,United Kingdom,1967,,female,8
Revital Cohen,Israel,1981,,female,8
Mai-Thu Perret,Switzerland,1976,,female,8
Mattia Moreni,Italy,1920,1999,female,8
Marilyn Minter,United States,1948,,female,8
Julie Zando,United States,1961,,female,7
Nan Hoover,United States,1931,2008,female,7
Tala Madani,Iran,1981,,female,7
Veronica Ryan,Montserrat,1956,,female,7
James Nares,United Kingdom,1953,,female,7
Beca Lipscombe,United Kingdom,1973,,female,7
Judy Pfaff,United States,1946,,female,7
Vanessa Beecroft,Italy,1969,,female,7
Emma Amos,United States,1937,2020,female,7
Karin Sander,Germany,1957,,female,7
Gilda Mantilla,Peru,1967,,female,7
Emily Belding,United States,1904,1999,female,7
Nathalie du Pasquier,France,1957,,female,7
Toyin Ojih Odutola,United States,1985,,female,7
Dorothy Liebes,United States,1899,1972,female,7
Violet Hopkins,United States,1973,,female,7
Merle Spandorfer,United States,1934,,female,7
E. V. Day,United States,1967,,female,7
Grete Wolf-Krakauer,Israel,1890,1970,female,7
Kay WalkingStick,,1935,,female,7
Germaine Richier,France,1904,1959,female,7
Birgit Megerle,Germany,1975,,female,7
Louisa Chase,United States,1951,2016,female,7
Stephanie Syjuco,United States,1974,,female,7
Milenija Marušić,Serbia,1940,,female,7
Beatrice Riese,United States,1917,2004,female,7
Angela Jansen,United States,1929,,female,7
Dara Birnbaum,United States,1946,,female,7
Sandra Vásquez de la Horra,Chile,1967,,female,7
Julia Jacquette,United States,1964,,female,7
Mary Rennell,,1901,1981,female,7
Sam Taylor-Johnson,United Kingdom,1967,,female,7
Frances Stark,United States,1967,,female,7
Dana Duff,United States,1955,,female,7
Liliane Lijn,United States,1939,,female,7
Mary Bauermeister,United States,1934,2023,female,7
Marcia Resnick,United States,1950,,female,7
Sue Williams,United States,1954,,female,7
Jorinde Voigt,Germany,1977,,female,7
Ilka Gedő,Hungary,1921,1985,female,7
Ritva Puotila,Finland,1935,,female,7
Grete Stern,Germany,1904,1999,female,7
Joyce Kozloff,United States,1942,,female,7
Helge Refn,Denmark,,,female,7
Senga Nengudi,United States,1943,,female,7
Minnie Evans,United States,1892,1987,female,7
Ruanne Abou-Rahme,West Bank and Gaza,1983,,female,7
Merry Alpern,United States,1955,,female,7
Swoon,United States,1977,,female,7
Marianne Strengell,United States,1909,1998,female,7
Linder,United Kingdom,1954,,female,7
Irina Rozovsky,United States,1981,,female,7
Kati Horna,Mexico,1912,2000,female,7
Michelle Stuart,United States,1938,,female,7
Ulrike Müller,Austria,1971,,female,7
Jane Freilicher,United States,1924,2014,female,7
Mimi Smith,United States,1942,,female,7
Miriam Schapiro,United States,1923,2015,female,7
Victoria Cabezas,United States,1950,,female,7
Dana Atchley,United States,1941,2000,female,7
Silvia Rosi,Italy,1992,,female,6
Caroline Slotte,Finland,1975,,female,6
Hodaka Yoshida,Japan,1926,1995,female,6
Sheri Martinelli,United States,1918,1996,female,6
Nancy Holt,United States,1938,2014,female,6
Maria Lalic,United Kingdom,1952,,female,6
Mirtha Dermisache,Argentina,1940,2012,female,6
Linda Karshan,United States,1947,,female,6
Christa Ehrlich,Netherlands,1903,1995,female,6
Denise Scott Brown,United States,1931,,female,6
Claude Cahun (Lucy Schwob),France,1894,1954,female,6
Jean Spencer,United Kingdom,1942,1998,female,6
Jitka Hanzlová,Czech Republic,1958,,female,6
Anupama Kundoo,India,1967,,female,6
Valerie Thornton,United Kingdom,1931,1991,female,6
Sam Contis,United States,1982,,female,6
Rosemary Mayer,United States,1943,2014,female,6
Bela Kolárová,Czech Republic,1923,2010,female,6
Virginia San Fratello,United States,1971,,female,6
Maria Helena Vieira da Silva,Portugal,1908,1992,female,6
Martine Gutierrez,United States,1989,,female,6
Andrea Büttner,Germany,1972,,female,6
Shio Kusaka,Japan,1972,,female,6
Sondra Perry,United States,1986,,female,6
Natalya Goncharova,Russia,1881,1962,female,6
Jie Qi,United States,1987,,female,6
Cecilia Szalkowicz,Argentina,1972,,female,6
Cecily Brown,United Kingdom,1969,,female,6
Annie Louisa Swynnerton,United Kingdom,1844,1933,female,6
Gala Porras-Kim,Colombia,1984,,female,6
Julia Emily Gordon,,1810,1896,female,6
Kim Yao,United States,1971,,female,6
Lina Bo Bardi,Brazil,1914,1992,female,6
Amelia Long,United Kingdom,1772,1837,female,6
Sarah Crowner,United States,1974,,female,6
Joan Albert,United States,1943,2012,female,6
Zanele Muholi,South Africa,1972,,female,6
Lucy McEachan,,,,female,6
Catriona Duffy,,,,female,6
Ines Wetzel,Germany,1878,1940,female,6
Katharina Heise (Karl Luis Heinrich-Salze),Germany,1891,1964,female,6
Adele Röder,Germany,1980,,female,6
